【  体育频道  】,#genre#
CCTV1_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$å¯å›çœ‹
CCTV17_移动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225765/index.m3u8$å¯å›çœ‹
CCTV9_移动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8$å¯å›çœ‹
CCTV11_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8$å¯å›çœ‹
CCTV11_移动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225597/index.m3u8$å¯å›çœ‹
【  影视高清频道  】,#genre#
CCTV1_移动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8$å¯å›çœ‹
【  卫视频道  】,#genre#
CCTV7_移动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8$å¯å›çœ‹
湖北卫视_电信,http://218.71.45.167:9999/rtp/233.50.201.114:5140
CCTV2_移动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8$å¯å›çœ‹
CCTV4_移动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8$å¯å›çœ‹
CCTV10_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$å¯å›çœ‹
新昌休闲影视_电信,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
山西卫视_电信,http://59.47.118.242:801/hls/135/index.m3u8
【  广东频道  】,#genre#
CCTV15_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8$å¯å›çœ‹
浙江|新昌休闲影视_联通,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
新昌休闲影视_联通,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
【  卡通高清频道  】,#genre#
CCTV5_移动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8$å¯å›çœ‹
CCTV15_移动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225601/index.m3u8$å¯å›çœ‹
【  江苏频道  】,#genre#
CCTV9_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$å¯å›çœ‹
CCTV14_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$å¯å›çœ‹
CCTV13_移动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226011/index.m3u8$å¯å›çœ‹
CCTV7_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$å¯å›çœ‹
CCTV16_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$å¯å›çœ‹
CCTV05_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$å¯å›çœ‹
CCTV12_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$å¯å›çœ‹
CCTV17_移动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$å¯å›çœ‹
CCTV2_移动,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8$å¯å›çœ‹
