【  标清频道  】,#genre#
CCTV4_电信,http://171.221.58.141:4000/udp/239.93.0.212:5140
CCTV6_电信,http://171.217.164.82:4022/udp/239.93.0.64:5140
CCTV9_电信,http://171.223.199.5:8123/udp/239.93.1.64:5140
吉林卫视_电信,http://125.71.58.153:4022/udp/239.93.1.204:5140
四川卫视_电信,http://171.223.199.5:8123/udp/239.93.0.128:5140
山西卫视_电信,http://171.217.164.82:4022/udp/239.93.1.207:5140
广东卫视_电信,http://171.223.199.5:8123/udp/239.93.0.201:5140
广西卫视_电信,http://125.71.58.153:4022/udp/239.93.1.203:5140
康巴卫视_电信,http://125.71.58.153:4022/udp/239.93.1.149:5140
新疆卫视_电信,http://125.71.58.153:4022/udp/239.93.1.214:5140
江苏卫视_电信,http://125.71.58.153:4022/udp/239.93.1.45:5140
江苏卫视_电信,http://171.223.199.5:8123/udp/239.93.1.45:5140
